state,District,MPCE_URP,MPCE_MRP,state_1
22,10,3332.0,3715.73,CHTSD
22,10,4342.5,6038.73,CHTSD
22,10,1291.0,1553.47,CHTSD
22,10,2741.83,3341.78,CHTSD
22,10,2005.25,2121.28,CHTSD
22,10,2536.17,4316.9,CHTSD
22,10,1000.7,1104.69,CHTSD
22,10,1138.17,1427.85,CHTSD
22,7,3679.75,5121.6,CHTSD
22,7,2366.71,3697.07,CHTSD
22,7,2771.0,3913.68,CHTSD
22,7,2347.6,3407.81,CHTSD
22,7,1856.17,2487.63,CHTSD
22,7,2550.75,3803.68,CHTSD
22,7,930.4,1132.89,CHTSD
22,7,2229.25,3397.78,CHTSD
22,8,5764.0,6532.49,CHTSD
22,8,6044.0,6622.08,CHTSD
22,8,1829.0,2498.06,CHTSD
22,8,1463.5,1563.23,CHTSD
22,8,982.25,1070.98,CHTSD
22,8,1316.6,1467.05,CHTSD
22,8,857.0,962.21,CHTSD
22,8,835.8,935.53,CHTSD
22,10,1738.17,1877.5,CHTSD
22,10,2095.5,2644.95,CHTSD
22,10,1031.0,1171.68,CHTSD
22,10,1164.5,1163.86,CHTSD
22,10,926.4,1115.06,CHTSD
22,10,1075.5,1211.98,CHTSD
22,10,685.2,822.12,CHTSD
22,10,847.25,935.4,CHTSD
22,7,2914.2,3447.46,CHTSD
22,7,3447.0,4580.5,CHTSD
22,7,1655.75,1996.93,CHTSD
22,7,1662.2,1948.27,CHTSD
22,7,1559.0,1824.51,CHTSD
22,7,1725.0,1855.27,CHTSD
22,7,926.5,972.53,CHTSD
22,7,658.0,783.49,CHTSD
22,10,2333.0,2574.32,CHTSD
22,10,1821.0,1862.64,CHTSD
22,10,985.33,1073.94,CHTSD
22,10,897.5,967.03,CHTSD
22,10,826.6,984.65,CHTSD
22,10,708.43,793.63,CHTSD
22,10,666.0,716.18,CHTSD
22,10,542.67,637.02,CHTSD
22,9,2978.33,3352.58,CHTSD
22,9,2888.5,4003.02,CHTSD
22,9,875.71,1026.88,CHTSD
22,9,755.33,780.63,CHTSD
22,9,1241.71,1523.85,CHTSD
22,9,740.86,1105.57,CHTSD
22,9,593.0,725.85,CHTSD
22,9,602.43,701.88,CHTSD
22,6,1821.2,2329.84,CHTSD
22,6,1207.6,1776.52,CHTSD
22,6,1175.0,1485.93,CHTSD
22,6,1350.25,1752.07,CHTSD
22,6,1653.2,2232.52,CHTSD
22,6,856.4,1134.37,CHTSD
22,6,1018.33,1254.02,CHTSD
22,6,778.13,1135.25,CHTSD
22,11,2452.2,2712.19,CHTSD
22,11,1875.86,2344.64,CHTSD
22,11,1553.0,1787.66,CHTSD
22,11,889.0,1107.32,CHTSD
22,11,978.17,1148.69,CHTSD
22,11,1042.25,1074.44,CHTSD
22,11,584.2,718.81,CHTSD
22,11,587.67,726.37,CHTSD
22,5,1201.75,1590.62,CHTSD
22,5,1776.0,2122.85,CHTSD
22,5,1225.0,1566.4,CHTSD
22,5,739.0,906.95,CHTSD
22,5,2001.25,2732.96,CHTSD
22,5,1246.25,1480.91,CHTSD
22,5,1235.4,1380.72,CHTSD
22,5,654.5,761.76,CHTSD
22,8,5593.0,5926.08,CHTSD
22,8,4616.5,5076.7,CHTSD
22,8,1109.0,1035.33,CHTSD
22,8,1537.33,1730.71,CHTSD
22,8,863.5,909.39,CHTSD
22,8,2728.5,3015.71,CHTSD
22,8,671.86,1314.69,CHTSD
22,8,1017.4,1149.32,CHTSD
22,4,2095.0,2573.11,CHTSD
22,4,3381.0,3760.32,CHTSD
22,4,918.67,1075.63,CHTSD
22,4,559.0,619.82,CHTSD
22,4,1822.0,2194.95,CHTSD
22,4,1189.17,1369.2,CHTSD
22,4,386.36,476.81,CHTSD
22,4,690.57,713.8,CHTSD
22,5,3285.0,3585.0,CHTSD
22,5,6186.5,4544.99,CHTSD
22,5,3497.0,3082.46,CHTSD
22,5,2257.6,2307.56,CHTSD
22,5,2215.0,2294.18,CHTSD
22,5,2358.0,2115.53,CHTSD
22,5,1128.75,1218.34,CHTSD
22,5,1369.25,2807.2,CHTSD
22,7,2198.25,2417.5,CHTSD
22,7,3295.33,4064.83,CHTSD
22,7,1756.5,2570.36,CHTSD
22,7,1096.0,1208.6,CHTSD
22,7,1075.5,1239.4,CHTSD
22,7,2503.5,3104.94,CHTSD
22,7,1172.67,1378.97,CHTSD
22,7,809.4,960.63,CHTSD
22,3,5339.0,5687.73,CHTSD
22,3,3806.7,1878.43,CHTSD
22,3,1382.67,1261.62,CHTSD
22,3,1506.8,1673.85,CHTSD
22,3,1414.0,897.84,CHTSD
22,3,951.0,1191.41,CHTSD
22,3,1189.0,1034.21,CHTSD
22,3,845.0,1115.16,CHTSD
22,7,1345.0,1757.2,CHTSD
22,7,3791.0,3751.02,CHTSD
22,7,1774.0,2203.45,CHTSD
22,7,1103.75,1259.37,CHTSD
22,7,888.29,955.68,CHTSD
22,7,1062.0,1239.19,CHTSD
22,7,591.14,640.85,CHTSD
22,7,838.8,813.43,CHTSD
22,6,5063.0,4382.32,CHTSD
22,6,3163.0,3263.27,CHTSD
22,6,2791.25,2091.76,CHTSD
22,6,1829.0,1893.11,CHTSD
22,6,1198.67,1372.37,CHTSD
22,6,1997.0,1731.83,CHTSD
22,6,745.5,789.37,CHTSD
22,6,485.83,612.55,CHTSD
22,2,2322.0,2708.55,CHTSD
22,2,2016.8,2496.89,CHTSD
22,2,1800.4,2048.36,CHTSD
22,2,1997.2,2333.09,CHTSD
22,2,1133.4,1091.53,CHTSD
22,2,2324.5,2531.35,CHTSD
22,2,1052.67,1067.6,CHTSD
22,2,1173.5,1181.32,CHTSD
22,9,2320.0,3126.58,CHTSD
22,9,3093.0,4192.59,CHTSD
22,9,1090.0,1196.78,CHTSD
22,9,1025.0,1126.1,CHTSD
22,9,876.5,1137.07,CHTSD
22,9,1035.0,1134.45,CHTSD
22,9,831.6,993.35,CHTSD
22,9,795.0,863.63,CHTSD
22,1,1776.33,1661.28,CHTSD
22,1,3660.0,3846.89,CHTSD
22,1,2645.6,2339.48,CHTSD
22,1,2790.67,2536.41,CHTSD
22,1,1877.88,2125.85,CHTSD
22,1,3240.75,2525.89,CHTSD
22,1,1002.67,992.07,CHTSD
22,1,3735.5,2386.25,CHTSD
22,14,5043.5,5530.08,CHTSD
22,14,2689.75,3528.81,CHTSD
22,14,901.14,1028.83,CHTSD
22,14,835.8,896.41,CHTSD
22,14,285.0,572.67,CHTSD
22,14,1741.5,2020.54,CHTSD
22,14,635.25,763.98,CHTSD
22,14,525.75,698.97,CHTSD
22,11,1917.8,2301.12,CHTSD
22,11,2401.0,2948.55,CHTSD
22,11,1003.33,1021.4,CHTSD
22,11,1155.13,1334.71,CHTSD
22,11,749.33,884.33,CHTSD
22,11,899.5,919.53,CHTSD
22,11,632.67,714.2,CHTSD
22,11,661.75,694.54,CHTSD
22,11,2267.33,2494.21,CHTSD
22,11,619.88,699.16,CHTSD
22,11,2070.67,1775.23,CHTSD
22,11,1686.0,1876.22,CHTSD
22,11,990.0,1074.64,CHTSD
22,11,813.57,867.12,CHTSD
22,11,1706.5,2020.27,CHTSD
22,13,4203.6,2953.89,CHTSD
22,13,3156.14,3162.57,CHTSD
22,13,1794.67,1989.87,CHTSD
22,13,1395.0,1751.68,CHTSD
22,13,1720.67,1343.82,CHTSD
22,13,1109.13,850.0,CHTSD
22,13,1708.83,1719.38,CHTSD
22,13,1179.75,1080.4,CHTSD
22,10,6823.33,8720.99,CHTSD
22,10,2078.0,3574.07,CHTSD
22,10,2407.92,1815.07,CHTSD
22,10,1385.2,1791.72,CHTSD
22,10,1104.6,1224.44,CHTSD
22,10,1858.8,1816.18,CHTSD
22,10,622.67,829.87,CHTSD
22,10,1060.14,892.68,CHTSD
22,12,2703.0,2711.49,CHTSD
22,12,2619.5,2493.34,CHTSD
22,12,886.25,997.83,CHTSD
22,12,1871.0,2483.33,CHTSD
22,12,1571.5,1399.17,CHTSD
22,12,795.86,805.45,CHTSD
22,12,433.4,557.51,CHTSD
22,12,774.25,791.56,CHTSD
22,11,4132.0,2805.24,CHTSD
22,11,3664.67,4118.5,CHTSD
22,11,2529.0,2305.97,CHTSD
22,11,3796.86,2912.35,CHTSD
22,11,1867.0,1690.36,CHTSD
22,11,2974.33,2491.42,CHTSD
22,11,1683.71,2071.78,CHTSD
22,11,1388.5,1317.52,CHTSD
22,10,2471.0,2531.62,CHTSD
22,10,2284.75,2409.89,CHTSD
22,10,2206.25,2343.63,CHTSD
22,10,2302.0,2298.1,CHTSD
22,10,1242.0,1302.48,CHTSD
22,10,1238.86,1059.6,CHTSD
22,10,1238.0,1159.42,CHTSD
22,10,1168.2,1027.13,CHTSD
22,15,2162.33,2420.38,CHTSD
22,15,2102.8,2802.38,CHTSD
22,15,653.4,896.66,CHTSD
22,15,779.25,892.3,CHTSD
22,15,464.0,574.78,CHTSD
22,15,752.0,825.36,CHTSD
22,15,652.33,830.42,CHTSD
22,15,723.44,827.01,CHTSD
22,10,3849.5,4664.95,CHTSD
22,10,6231.5,3499.82,CHTSD
22,10,1089.5,1222.1,CHTSD
22,10,434.4,513.77,CHTSD
22,10,1054.25,1180.16,CHTSD
22,10,2749.0,1800.71,CHTSD
22,10,1147.0,1352.89,CHTSD
22,10,1122.4,1243.5,CHTSD
22,3,2506.71,1888.19,CHTSD
22,3,2339.6,1884.61,CHTSD
22,3,1185.67,1472.92,CHTSD
22,3,1424.0,1617.49,CHTSD
22,3,2571.67,3355.78,CHTSD
22,3,1459.14,1196.41,CHTSD
22,3,792.5,928.48,CHTSD
22,3,807.0,977.86,CHTSD
22,16,2934.0,2657.84,CHTSD
22,16,5683.0,5785.81,CHTSD
22,16,845.5,890.43,CHTSD
22,16,2122.25,2344.01,CHTSD
22,16,952.4,1003.88,CHTSD
22,16,795.0,909.48,CHTSD
22,16,821.86,761.64,CHTSD
22,16,857.5,852.86,CHTSD
22,17,4628.0,4988.27,CHTSD
22,17,1275.8,1528.16,CHTSD
22,17,2610.5,2974.2,CHTSD
22,17,1114.17,1228.28,CHTSD
22,17,3366.67,4125.53,CHTSD
22,17,1667.6,1940.15,CHTSD
22,17,1524.5,1546.81,CHTSD
22,17,1483.33,1612.65,CHTSD
22,2,2341.25,2729.5,CHTSD
22,2,2900.75,3316.33,CHTSD
22,2,1269.38,1389.2,CHTSD
22,2,1978.33,2637.06,CHTSD
22,2,1551.75,1746.91,CHTSD
22,2,2417.4,2657.82,CHTSD
22,2,866.0,1015.69,CHTSD
22,2,939.25,1101.99,CHTSD
22,15,3092.5,3421.59,CHTSD
22,15,6599.0,6468.95,CHTSD
22,15,1179.17,1191.18,CHTSD
22,15,1293.0,1394.92,CHTSD
22,15,2303.75,2830.92,CHTSD
22,15,2750.0,2748.56,CHTSD
22,15,492.71,577.2,CHTSD
22,15,610.0,681.59,CHTSD
22,1,1990.5,2034.58,CHTSD
22,1,2698.67,3048.95,CHTSD
22,1,1371.17,1430.97,CHTSD
22,1,1604.71,1674.87,CHTSD
22,1,1658.33,1743.97,CHTSD
22,1,1861.5,1808.83,CHTSD
22,1,727.0,744.03,CHTSD
22,1,818.5,789.28,CHTSD
22,18,3895.33,3967.84,CHTSD
22,18,2579.2,2926.27,CHTSD
22,18,840.0,960.0,CHTSD
22,18,942.0,1064.6,CHTSD
22,18,885.0,1013.22,CHTSD
22,18,2594.0,2684.0,CHTSD
22,18,690.0,759.04,CHTSD
22,18,715.0,799.66,CHTSD
22,14,2063.6,2928.78,CHTSD
22,14,4385.33,5145.17,CHTSD
22,14,767.5,893.01,CHTSD
22,14,1637.5,1900.81,CHTSD
22,14,1796.0,2227.51,CHTSD
22,14,2718.33,4524.82,CHTSD
22,14,654.0,765.78,CHTSD
22,14,787.2,844.93,CHTSD
22,4,2054.33,2195.38,CHTSD
22,4,1793.83,1960.93,CHTSD
22,4,1561.0,1820.73,CHTSD
22,4,2500.0,2978.77,CHTSD
22,4,1277.38,1456.06,CHTSD
22,4,1289.5,1357.06,CHTSD
22,4,996.0,1080.66,CHTSD
22,4,884.0,943.18,CHTSD
22,13,2404.33,2638.49,CHTSD
22,13,2397.83,2636.65,CHTSD
22,13,979.33,1032.8,CHTSD
22,13,1013.25,784.0,CHTSD
22,13,575.0,690.07,CHTSD
22,13,1056.5,1153.08,CHTSD
22,13,761.0,1025.38,CHTSD
22,13,805.33,873.42,CHTSD
22,17,929.0,1277.75,CHTSD
22,17,686.6,617.67,CHTSD
22,17,594.0,731.41,CHTSD
22,17,698.88,842.2,CHTSD
22,17,584.5,661.25,CHTSD
22,17,709.8,843.94,CHTSD
22,17,575.2,639.56,CHTSD
22,17,565.0,610.31,CHTSD
22,12,3104.38,8049.58,CHTSD
22,12,4577.0,3702.68,CHTSD
22,12,762.25,870.13,CHTSD
22,12,2105.2,1550.67,CHTSD
22,12,2499.5,2428.04,CHTSD
22,12,1004.2,942.83,CHTSD
22,12,439.0,455.16,CHTSD
22,12,702.0,776.79,CHTSD
22,13,7772.75,5005.39,CHTSD
22,13,2393.5,3867.21,CHTSD
22,13,2236.25,2008.68,CHTSD
22,13,1281.4,995.35,CHTSD
22,13,2079.75,2251.53,CHTSD
22,13,1988.14,1391.2,CHTSD
22,13,804.5,597.38,CHTSD
22,13,1530.43,735.5,CHTSD
22,16,2651.0,2857.51,CHTSD
22,16,11357.0,4112.62,CHTSD
22,16,2065.0,2466.1,CHTSD
22,16,2729.0,3000.64,CHTSD
22,16,2286.5,2247.72,CHTSD
22,16,3345.0,2621.71,CHTSD
22,16,2799.0,3530.23,CHTSD
22,16,3025.0,3353.77,CHTSD
22,11,12113.5,11312.73,CHTSD
22,11,3717.67,2930.32,CHTSD
22,11,1690.33,2069.95,CHTSD
22,11,3653.0,2711.9,CHTSD
22,11,3825.5,3055.59,CHTSD
22,11,5123.5,4204.84,CHTSD
22,11,1671.0,969.32,CHTSD
22,11,827.29,681.2,CHTSD
22,15,3997.0,5925.71,CHTSD
22,15,710.83,786.61,CHTSD
22,15,2364.0,2637.7,CHTSD
22,15,3038.0,2719.44,CHTSD
22,15,1456.0,1699.77,CHTSD
22,15,2261.0,2899.77,CHTSD
22,15,201.5,206.16,CHTSD
22,15,472.0,475.36,CHTSD
22,14,3936.0,6185.59,CHTSD
22,14,2521.0,2508.67,CHTSD
22,14,1701.0,2234.26,CHTSD
22,14,2190.0,2326.4,CHTSD
22,14,2932.0,2007.21,CHTSD
22,14,1910.0,2378.08,CHTSD
22,14,459.0,458.86,CHTSD
22,14,721.5,1057.77,CHTSD
22,11,1416.4,1471.66,CHTSD
22,11,2790.67,3158.34,CHTSD
22,11,1934.56,2407.69,CHTSD
22,11,3096.5,3214.03,CHTSD
22,11,766.71,924.93,CHTSD
22,11,1478.5,1569.73,CHTSD
22,11,1237.25,1599.47,CHTSD
22,11,945.2,1060.13,CHTSD
22,18,2892.08,1595.81,CHTSD
22,18,7525.0,7587.82,CHTSD
22,18,917.0,957.62,CHTSD
22,18,730.5,753.65,CHTSD
22,18,917.5,927.84,CHTSD
22,18,979.0,917.84,CHTSD
22,18,779.0,792.01,CHTSD
22,18,753.0,741.13,CHTSD
22,11,3553.0,3975.3,CHTSD
22,11,3876.0,4352.3,CHTSD
22,11,1410.67,1592.63,CHTSD
22,11,2018.5,1575.21,CHTSD
22,11,1138.5,1217.88,CHTSD
22,11,1619.71,1203.51,CHTSD
22,11,280.3,311.94,CHTSD
22,11,166.14,203.48,CHTSD
22,11,7436.0,7123.4,CHTSD
22,11,6528.0,7295.33,CHTSD
22,11,1850.5,2221.05,CHTSD
22,11,2751.0,2744.13,CHTSD
22,11,1484.0,1488.3,CHTSD
22,11,1973.4,2104.25,CHTSD
22,11,1887.25,2026.57,CHTSD
22,11,1174.6,1256.63,CHTSD
22,10,1330.0,1409.32,CHTSD
22,10,1129.2,1306.68,CHTSD
22,10,1063.67,1144.31,CHTSD
22,10,804.5,851.92,CHTSD
22,10,1379.8,1577.25,CHTSD
22,10,793.17,846.09,CHTSD
22,10,443.4,495.59,CHTSD
22,10,661.67,870.84,CHTSD
22,10,3177.5,3289.44,CHTSD
22,10,4309.2,4456.52,CHTSD
22,10,1935.0,2551.58,CHTSD
22,10,1040.0,1137.26,CHTSD
22,10,2156.33,2263.66,CHTSD
22,10,1823.0,2054.42,CHTSD
22,10,581.0,631.38,CHTSD
22,10,669.33,740.3,CHTSD
22,11,3802.8,15810.91,CHTSD
22,11,1652.25,1948.35,CHTSD
22,11,1172.64,1506.71,CHTSD
22,11,1262.6,1245.79,CHTSD
22,11,1299.3,1469.85,CHTSD
22,11,1087.83,1093.23,CHTSD
22,11,917.25,815.4,CHTSD
22,11,959.33,983.4,CHTSD
22,9,3101.67,4377.21,CHTSD
22,9,1572.83,2666.01,CHTSD
22,9,886.91,1014.84,CHTSD
22,9,1022.0,1148.23,CHTSD
22,9,879.8,916.98,CHTSD
22,9,1557.6,1771.58,CHTSD
22,9,597.8,672.07,CHTSD
22,9,725.2,779.83,CHTSD
22,11,1015.0,1075.84,CHTSD
22,11,1573.0,1612.18,CHTSD
22,11,1166.5,1342.03,CHTSD
22,11,1058.4,1760.98,CHTSD
22,11,1365.5,1192.16,CHTSD
22,11,893.27,1007.3,CHTSD
22,11,995.4,1106.63,CHTSD
22,11,1411.0,1486.21,CHTSD
22,10,1241.0,1590.76,CHTSD
22,10,887.0,1000.48,CHTSD
22,10,1021.33,1145.79,CHTSD
22,10,1256.5,1474.55,CHTSD
22,10,923.5,1008.4,CHTSD
22,10,1058.75,1143.82,CHTSD
22,10,350.17,438.25,CHTSD
22,10,500.5,556.46,CHTSD
22,8,3996.75,5277.01,CHTSD
22,8,3049.33,3703.88,CHTSD
22,8,1026.4,1208.18,CHTSD
22,8,830.5,842.6,CHTSD
22,8,1302.67,1202.95,CHTSD
22,8,653.4,865.12,CHTSD
22,8,810.0,912.47,CHTSD
22,8,470.0,565.12,CHTSD
22,12,3224.5,3045.39,CHTSD
22,12,2374.5,2710.56,CHTSD
22,12,1320.0,1536.8,CHTSD
22,12,2697.0,3677.96,CHTSD
22,12,938.6,1089.48,CHTSD
22,12,1440.75,1584.79,CHTSD
22,12,699.33,804.5,CHTSD
22,12,588.75,707.0,CHTSD
22,7,1919.2,2249.32,CHTSD
22,7,3830.0,5890.96,CHTSD
22,7,4500.0,6433.56,CHTSD
22,7,815.5,1093.72,CHTSD
22,7,2668.33,3396.71,CHTSD
22,7,1766.17,2002.13,CHTSD
22,7,1055.25,1262.78,CHTSD
22,7,1001.0,1223.74,CHTSD
22,6,1490.86,1942.04,CHTSD
22,6,1741.33,2328.68,CHTSD
22,6,1093.0,1232.25,CHTSD
22,6,3657.67,4137.05,CHTSD
22,6,1673.6,2027.39,CHTSD
22,6,1725.33,1786.89,CHTSD
22,6,870.5,967.72,CHTSD
22,6,1105.2,1493.91,CHTSD
22,1,1578.83,1970.28,CHTSD
22,1,2023.8,2588.52,CHTSD
22,1,1486.0,1766.04,CHTSD
22,1,1116.43,1326.99,CHTSD
22,1,1640.2,1861.03,CHTSD
22,1,1383.67,1470.51,CHTSD
22,1,909.8,1063.91,CHTSD
22,1,876.17,928.6,CHTSD
22,2,4741.0,3686.96,CHTSD
22,2,3203.0,1844.6,CHTSD
22,2,1359.0,1229.22,CHTSD
22,2,2365.0,1547.42,CHTSD
22,2,2407.0,1729.74,CHTSD
22,2,2216.0,1360.66,CHTSD
22,2,1601.0,1316.55,CHTSD
22,2,3072.67,2558.15,CHTSD
22,5,2757.0,2894.09,CHTSD
22,5,2316.2,2073.94,CHTSD
22,5,753.2,906.87,CHTSD
22,5,2107.5,2228.73,CHTSD
22,5,1545.0,4851.58,CHTSD
22,5,764.2,938.94,CHTSD
22,5,779.0,849.08,CHTSD
22,5,631.75,782.26,CHTSD
22,18,4917.0,5024.67,CHTSD
22,18,4821.33,5102.1,CHTSD
22,18,835.0,939.11,CHTSD
22,18,1319.67,1721.31,CHTSD
22,18,645.86,766.87,CHTSD
22,18,1203.0,1370.67,CHTSD
22,18,918.0,769.78,CHTSD
22,18,480.0,546.78,CHTSD
22,4,3037.75,3363.72,CHTSD
22,4,3367.5,6273.63,CHTSD
22,4,1548.0,1829.1,CHTSD
22,4,1643.0,2218.94,CHTSD
22,4,1664.0,2055.37,CHTSD
22,4,1380.0,1701.78,CHTSD
22,4,665.6,763.7,CHTSD
22,4,666.0,721.75,CHTSD
22,3,3640.67,3951.07,CHTSD
22,3,2982.0,3178.84,CHTSD
22,3,1858.75,2471.54,CHTSD
22,3,2302.33,1578.59,CHTSD
22,3,3089.2,2477.75,CHTSD
22,3,1047.33,1185.89,CHTSD
22,3,1241.75,928.09,CHTSD
